name,country
lesescaldes,andorra
andorralavella,andorra
ummalqaywayn,unitedarabemirates
rasal-khaimah,unitedarabemirates
khawrfakkān,unitedarabemirates
dubai,unitedarabemirates
dibbaal-fujairah,unitedarabemirates
dibbaal-hisn,unitedarabemirates
sharjah,unitedarabemirates
arruways,unitedarabemirates
alfujayrah,unitedarabemirates
alain,unitedarabemirates
ajman,unitedarabemirates
adhdhayd,unitedarabemirates
abudhabi,unitedarabemirates
zaranj,afghanistan
taloqan,afghanistan
shīnḏanḏ,afghanistan
shibirghān,afghanistan
shahrak,afghanistan
sar-epul,afghanistan
sang-echārak,afghanistan
aībak,afghanistan
rustāq,afghanistan
qarqīn,afghanistan
qarāwul,afghanistan
pul-ekhumrī,afghanistan
paghmān,afghanistan
nahrīn,afghanistan
maymana,afghanistan
mehtarlām,afghanistan
mazār-esharīf,afghanistan
lashkargāh,afghanistan
kushk,afghanistan
kunduz,afghanistan
khōst,afghanistan
khulm,afghanistan
khāsh,afghanistan
khanabad,afghanistan
karukh,afghanistan
kandahār,afghanistan
kabul,afghanistan
jalālābād,afghanistan
jabalossaraj,afghanistan
herāt,afghanistan
ghormach,afghanistan
ghazni,afghanistan
gereshk,afghanistan
gardēz,afghanistan
fayzabad,afghanistan
farah,afghanistan
kafirqala,afghanistan
charikar,afghanistan
barakībarak,afghanistan
bāmyān,afghanistan
balkh,afghanistan
baghlān,afghanistan
ārtkhwājah,afghanistan
āsmār,afghanistan
asadābād,afghanistan
andkhōy,afghanistan
bāzārak,afghanistan
markaz-ewoluswalī-yeāchīn,afghanistan
saintjohn’s,antiguaandbarbuda
thevalley,anguilla
sarandë,albania
kukës,albania
korçë,albania
gjirokastër,albania
elbasan,albania
burrel,albania
vlorë,albania
tirana,albania
shkodër,albania
patosfshat,albania
lushnjë,albania
lezhë,albania
laç,albania
kuçovë,albania
krujë,albania
kavajë,albania
fier-çifçi,albania
fier,albania
durrës,albania
berat,albania
kapan,armenia
goris,armenia
hats’avan,armenia
artashat,armenia
ararat,armenia
yerevan,armenia
ejmiatsin,armenia
spitak,armenia
sevan,armenia
masis,armenia
vanadzor,armenia
gavarr,armenia
hrazdan,armenia
armavir,armenia
gyumri,armenia
ashtarak,armenia
abovyan,armenia
saurimo,angola
lucapa,angola
luau,angola
uíge,angola
soio,angola
nzeto,angola
n’dalatando,angola
mbanzacongo,angola
malanje,angola
luanda,angola
caxito,angola
cabinda,angola
sumbe,angola
namibe,angola
menongue,angola
luena,angola
lubango,angola
longonjo,angola
lobito,angola
cuito,angola
huambo,angola
catumbela,angola
catabola,angola
camacupa,angola
caluquembe,angola
caála,angola
benguela,angola
zárate,argentina
villaocampo,argentina
villalugano,argentina
villaguay,argentina
villagesell,argentina
tigre,argentina
tandil,argentina
sanvicente,argentina
santotomé,argentina
santaelena,argentina
sanpedro,argentina
sanluisdelpalmar,argentina
sanlorenzo,argentina
sanjavier,argentina
sanisidro,argentina
saladas,argentina
retiro,argentina
resistencia,argentina
reconquista,argentina
quilmes,argentina
puertorico,argentina
puertoiguazú,argentina
puertoesperanza,argentina
puertoeldorado,argentina
posadas,argentina
pontevedra,argentina
pirané,argentina
pasodeloslibres,argentina
oberá,argentina
necochea,argentina
morón,argentina
montecaseros,argentina
montecarlo,argentina
mercedes,argentina
mercedes,argentina
mardelplata,argentina
luján,argentina
laplata,argentina
lapaz,argentina
jardínamérica,argentina
gualeguaychú,argentina
gualeguay,argentina
goya,argentina
gobernadoringenierovalentínvirasoro,argentina
generaljosédesanmartín,argentina
garupá,argentina
formosa,argentina
fontana,argentina
federal,argentina
esquina,argentina
elsoberbio,argentina
dolores,argentina
curuzúcuatiá,argentina
corrientes,argentina
concordia,argentina
concepcióndeluruguay,argentina
colegiales,argentina
chajarí,argentina
campana,argentina
buenosaires,argentina
barranqueras,argentina
azul,argentina
avellaneda,argentina
aristóbulodelvalle,argentina
zapala,argentina
yerbabuena,argentina
villaregina,argentina
villapauladesarmiento,argentina
villanueva,argentina
villamaría,argentina
villadolores,argentina
